baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000042793.13	826.585582038714	4.18995818765862	0.136376282069623	30.7235108926019	2.76261396383964e-207	2.67381565785908e-204
ENSMUSG00000049382.10	4897.23799784232	10.8600818807316	0.354999192930755	30.5918494942886	1.57102089317709e-205	1.45140907517383e-202
ENSMUSG00000074796.10	724.457462044847	4.24021703622174	0.143689434543828	29.5095951186891	2.16842009660448e-191	1.91622341145591e-188
ENSMUSG00000022871.13	907.436339159451	6.64457861166254	0.225681199025169	29.4423223572182	1.57872878135e-190	1.33698593670578e-187
ENSMUSG00000020788.15	1737.293980977	8.80396675972183	0.300338631929874	29.3134676120436	6.98588753015367e-189	5.67952656201493e-186
ENSMUSG00000025432.11	1028.76292438183	6.45327389145318	0.220510036164888	29.2652162399887	2.87542783133206e-188	2.24781041045477e-185
ENSMUSG00000061126.5	1311.96026888777	8.11840566728064	0.278472647561994	29.1533324308748	7.57976922188785e-187	5.70588183092113e-184
ENSMUSG00000063450.14	1653.79245512318	3.43893176988882	0.118321431749262	29.0643184336743	1.01456126977784e-185	7.36462778865523e-183
ENSMUSG00000060716.7	703.182569059713	6.74370933294701	0.239150559633831	28.1985931509943	6.08451066956461e-175	4.26440273651382e-172
ENSMUSG00000048699.4	2049.89437875408	9.60231029676626	0.347716014648805	27.615381208325	7.27311523893846e-168	4.92753557438081e-165
ENSMUSG00000003153.10	845.998750308796	4.74631569107544	0.172921785085297	27.4477602040381	7.38873416408529e-166	4.84438780274302e-163
ENSMUSG00000040703.11	1129.98297145409	7.25839304765751	0.265993005606546	27.287909436213	5.90252958912935e-164	3.74902855934544e-161
ENSMUSG00000012350.15	1001.69738875024	7.68467566946488	0.283138555536156	27.1410428541357	3.23002566535877e-162	1.98940217116415e-159
ENSMUSG00000024421.16	543.549915780567	5.80557459509458	0.21711721710395	26.7393561530177	1.64206444356901e-157	9.81616465162947e-155
ENSMUSG00000038295.14	515.304872541551	5.21282969600145	0.19920875006091	26.1676743336202	6.20271891216683e-151	3.60200748256545e-148
ENSMUSG00000024331.11	615.377923411015	5.58259830890138	0.215669298386847	25.8849931383735	9.82782061782943e-148	5.5486237238162e-145
ENSMUSG00000048373.8	726.31773457288	7.22106553169032	0.282682366485765	25.5448035951474	6.27144075766398e-144	3.44505495674379e-141
ENSMUSG00000018166.8	578.756239400455	6.81018484285766	0.272012841713159	25.0362622586734	2.46409159604815e-138	1.31796478130733e-135
ENSMUSG00000018849.6	878.831346660461	3.63363507689235	0.147033732062986	24.7129350925798	7.7652466782252e-135	4.04688817269044e-132
ENSMUSG00000074272.10	439.951355126447	4.95770399544923	0.200840077768348	24.6848340756347	1.5562373456575e-134	7.90763101262215e-132
ENSMUSG00000074227.12	623.470825792433	3.90779526680561	0.158627108916974	24.6351036306851	5.31552743576549e-134	2.63507549102277e-131
ENSMUSG00000043439.5	542.629487109125	5.15769823815206	0.209606418849335	24.6065853634921	1.07395218912385e-133	5.19716148665294e-131
ENSMUSG00000030494.13	441.12274423824	5.78235585024068	0.235515086069658	24.5519552345383	4.12196296408666e-133	1.94834644755957e-130
ENSMUSG00000031297.14	664.242972371103	3.90069860583831	0.159140723988383	24.5110020117985	1.12755483532998e-132	5.20853455183678e-130
ENSMUSG00000022218.16	980.686973867713	8.5366820766254	0.349849418143067	24.4010183636619	1.66814102618361e-131	7.53443696826263e-129
ENSMUSG00000022123.9	463.68247591635	4.7491919858245	0.195553966423605	24.2858381892235	2.76688105519766e-130	1.22254037928027e-127
ENSMUSG00000020911.14	1400.39588389658	3.60696683715607	0.149666540847354	24.1000213991372	2.49841797371733e-128	1.08043287905967e-125
ENSMUSG00000035557.9	4653.04498435108	11.8643915226108	0.494259724072479	24.0043664186381	2.5036461166763e-127	1.06013765253012e-124
ENSMUSG00000063011.7	7072.73534060858	1.9508835500885	0.0814155443810067	23.9620525161485	6.91940328112323e-127	2.87014023854755e-124
